Experiment Results - 20250816_184713
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
     Upper |   53 |    278 |   0.705 |   0.456 |   1.903 |     nan |       0.004 |       0.060 |  918.500 |  241.541
     Upper |   54 |    299 |   0.645 |   0.478 |   1.936 |     nan |       0.007 |       0.082 |  933.910 |  230.308
     Upper |   55 |    274 |   0.697 |   0.460 |   1.889 |     nan |       0.007 |       0.085 |  954.869 |  235.164
     Upper |   56 |    293 |   0.662 |   0.473 |   1.910 |     nan |       0.007 |       0.082 |  918.471 |  233.368
     Upper |   57 |    281 |   0.751 |   0.432 |   1.894 |     nan |       0.007 |       0.084 |  930.662 |  222.289
     Upper |   58 |    283 |   0.640 |   0.480 |   1.845 |     nan |       0.011 |       0.102 |  971.894 |  248.738
     Upper |   59 |    272 |   0.673 |   0.469 |   1.863 |     nan |       0.004 |       0.061 |  914.680 |  235.803
     Upper |   60 |    279 |   0.692 |   0.462 |   1.882 |     nan |       0.004 |       0.060 |  920.455 |  211.117
     Upper |   61 |    267 |   0.693 |   0.461 |   1.867 |     nan |       0.004 |       0.061 |  940.382 |  217.424
     Upper |   62 |    281 |   0.665 |   0.472 |   1.833 |     nan |       0.007 |       0.084 |  939.979 |  236.647
     Upper |   63 |    291 |   0.636 |   0.481 |   1.832 |     nan |       0.007 |       0.083 |  912.763 |  233.974
     Upper |   64 |    247 |   0.729 |   0.445 |   1.844 |     nan |       0.004 |       0.063 |  884.502 |  215.346
     Upper |   65 |    277 |   0.715 |   0.452 |   1.896 |     nan |       0.004 |       0.060 |  929.971 |  222.408
     Upper |   66 |    261 |   0.628 |   0.483 |   1.826 |     nan |       0.004 |       0.062 |  924.073 |  231.689
     Upper |   67 |    267 |   0.640 |   0.480 |   1.845 |   0.427 |       0.000 |       0.000 |  921.232 |  215.662
     Upper |   68 |    308 |   0.679 |   0.467 |   1.818 |   0.406 |       0.000 |       0.000 |  952.065 |  212.441
     Upper |   69 |    281 |   0.676 |   0.468 |   1.855 |     nan |       0.007 |       0.084 |  928.199 |  215.549
     Upper |   70 |    277 |   0.675 |   0.468 |   1.835 |     nan |       0.007 |       0.085 |  906.856 |  229.724
     Upper |   71 |    279 |   0.667 |   0.471 |   1.812 |     nan |       0.004 |       0.060 |  939.695 |  238.089
     Upper |   72 |    303 |   0.653 |   0.476 |   1.783 |     nan |       0.003 |       0.057 |  926.620 |  198.955
     Upper |   73 |    280 |   0.671 |   0.470 |   1.834 |     nan |       0.007 |       0.084 |  906.325 |  211.080
     Upper |   74 |    273 |   0.656 |   0.475 |   1.813 |     nan |       0.007 |       0.085 |  898.919 |  215.747
     Upper |   75 |    258 |   0.694 |   0.461 |   1.841 |   0.428 |       0.000 |       0.000 |  912.609 |  202.873
     Upper |   76 |    291 |   0.742 |   0.437 |   1.827 |     nan |       0.003 |       0.059 |  909.182 |  208.480
     Upper |   77 |    293 |   0.700 |   0.458 |   1.800 |   0.385 |       0.000 |       0.000 |  920.768 |  198.542
     Upper |   78 |    291 |   0.701 |   0.458 |   1.815 |     nan |       0.003 |       0.059 |  916.777 |  200.450
     Upper |   79 |    262 |   0.611 |   0.488 |   1.801 |   0.370 |       0.000 |       0.000 |  956.435 |  218.208
     Upper |   80 |    287 |   0.659 |   0.474 |   1.778 |     nan |       0.003 |       0.059 |  908.815 |  207.180
     Upper |   81 |    287 |   0.683 |   0.465 |   1.766 |     nan |       0.003 |       0.059 |  936.683 |  219.245
     Upper |   82 |    289 |   0.623 |   0.485 |   1.769 |   0.382 |       0.000 |       0.000 |  930.453 |  201.013
     Upper |   83 |    290 |   0.669 |   0.471 |   1.787 |   0.388 |       0.000 |       0.000 |  902.045 |  205.870
     Upper |   84 |    290 |   0.648 |   0.478 |   1.824 |     nan |       0.007 |       0.083 |  883.317 |  194.963
     Upper |   85 |    288 |   0.712 |   0.453 |   1.794 |     nan |       0.003 |       0.059 |  916.017 |  192.329
     Upper |   86 |    266 |   0.639 |   0.480 |   1.744 |   0.410 |       0.000 |       0.000 |  921.850 |  201.002
     Upper |   87 |    262 |   0.672 |   0.470 |   1.747 |   0.361 |       0.000 |       0.000 |  909.962 |  178.605
     Upper |   88 |    310 |   0.642 |   0.479 |   1.749 |   0.354 |       0.000 |       0.000 |  934.610 |  189.420
     Upper |   89 |    276 |   0.659 |   0.474 |   1.777 |   0.357 |       0.000 |       0.000 |  916.656 |  199.691
     Upper |   90 |    283 |   0.693 |   0.461 |   1.777 |   0.384 |       0.000 |       0.000 |  898.633 |  199.229
     Upper |   91 |    284 |   0.630 |   0.483 |   1.720 |   0.348 |       0.000 |       0.000 |  946.025 |  182.449
     Upper |   92 |    271 |   0.624 |   0.484 |   1.741 |   0.354 |       0.000 |       0.000 |  922.948 |  189.376
     Upper |   93 |    285 |   0.677 |   0.468 |   1.734 |   0.372 |       0.000 |       0.000 |  908.242 |  204.214
     Upper |   94 |    257 |   0.630 |   0.483 |   1.779 |   0.350 |       0.000 |       0.000 |  924.245 |  193.646
     Upper |   95 |    291 |   0.622 |   0.485 |   1.696 |   0.306 |       0.000 |       0.000 |  921.031 |  182.915
     Upper |   96 |    271 |   0.679 |   0.467 |   1.716 |   0.344 |       0.000 |       0.000 |  916.391 |  190.382
     Upper |   97 |    261 |   0.678 |   0.467 |   1.729 |   0.382 |       0.000 |       0.000 |  908.602 |  190.304
     Upper |   98 |    312 |   0.644 |   0.479 |   1.759 |   0.318 |       0.000 |       0.000 |  935.413 |  190.879
     Upper |   99 |    279 |   0.663 |   0.473 |   1.770 |   0.360 |       0.000 |       0.000 |  905.276 |  183.454
     Upper |  100 |    282 |   0.660 |   0.474 |   1.740 |   0.326 |       0.000 |       0.000 |  898.748 |  202.836
