Experiment Results - 20250816_105910
==================================================
n_online_list: [100]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    1 |    519 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    1.000 |    0.000
     Upper |    2 |    318 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    2.000 |    0.000
     Upper |    3 |    411 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   10.000 |    3.313
     Upper |    4 |    400 |   0.978 |   0.148 |     inf |     nan |       0.980 |       0.140 |   45.655 |   16.810
     Upper |    5 |    371 |   0.949 |   0.220 |     inf |     nan |       0.838 |       0.368 |  264.453 |   96.800
     Upper |    6 |    412 |   0.898 |   0.303 |     inf |     nan |       0.697 |       0.460 |  361.595 |  126.057
     Upper |    7 |    389 |   0.861 |   0.346 |   3.861 |     nan |       0.463 |       0.499 |  373.540 |  116.073
     Upper |    8 |    403 |   0.871 |   0.335 |   3.010 |     nan |       0.335 |       0.472 |  368.536 |  109.208
     Upper |    9 |    410 |   0.820 |   0.385 |   2.467 |     nan |       0.173 |       0.378 |  373.305 |  102.192
     Upper |   10 |    374 |   0.767 |   0.423 |   2.269 |     nan |       0.099 |       0.299 |  366.198 |  101.609
     Upper |   11 |    368 |   0.791 |   0.407 |   2.178 |     nan |       0.052 |       0.221 |  371.954 |   90.595
     Upper |   12 |    360 |   0.731 |   0.444 |   2.016 |     nan |       0.017 |       0.128 |  376.369 |   95.884
     Upper |   13 |    369 |   0.732 |   0.443 |   1.954 |     nan |       0.016 |       0.126 |  376.206 |   87.202
     Upper |   14 |    408 |   0.706 |   0.456 |   1.956 |     nan |       0.005 |       0.070 |  376.257 |   80.086
     Upper |   15 |    393 |   0.740 |   0.438 |   1.913 |   0.646 |       0.000 |       0.000 |  377.277 |   82.746
     Upper |   16 |    397 |   0.710 |   0.454 |   1.831 |   0.608 |       0.000 |       0.000 |  378.620 |   79.995
     Upper |   17 |    375 |   0.725 |   0.446 |   1.792 |   0.567 |       0.000 |       0.000 |  375.883 |   77.113
     Upper |   18 |    378 |   0.664 |   0.472 |   1.777 |   0.587 |       0.000 |       0.000 |  372.812 |   72.585
     Upper |   19 |    392 |   0.735 |   0.441 |   1.772 |   0.524 |       0.000 |       0.000 |  375.033 |   72.216
     Upper |   20 |    379 |   0.683 |   0.465 |   1.768 |   0.513 |       0.000 |       0.000 |  377.216 |   70.845
     Upper |   21 |    389 |   0.663 |   0.473 |   1.665 |   0.493 |       0.000 |       0.000 |  383.830 |   67.641
     Upper |   22 |    389 |   0.694 |   0.461 |   1.688 |   0.480 |       0.000 |       0.000 |  375.910 |   69.616
     Upper |   23 |    375 |   0.707 |   0.455 |   1.707 |   0.430 |       0.000 |       0.000 |  378.501 |   69.415
     Upper |   24 |    369 |   0.705 |   0.456 |   1.663 |   0.453 |       0.000 |       0.000 |  379.710 |   68.624
     Upper |   25 |    396 |   0.710 |   0.454 |   1.625 |   0.431 |       0.000 |       0.000 |  377.518 |   66.526
     Upper |   26 |    412 |   0.689 |   0.463 |   1.633 |   0.402 |       0.000 |       0.000 |  378.934 |   60.564
     Upper |   27 |    397 |   0.647 |   0.478 |   1.619 |   0.423 |       0.000 |       0.000 |  381.071 |   64.440
     Upper |   28 |    383 |   0.676 |   0.468 |   1.644 |   0.377 |       0.000 |       0.000 |  383.211 |   62.406
     Upper |   29 |    365 |   0.685 |   0.465 |   1.581 |   0.394 |       0.000 |       0.000 |  379.660 |   62.611
     Upper |   30 |    389 |   0.674 |   0.469 |   1.581 |   0.382 |       0.000 |       0.000 |  380.918 |   60.456
     Upper |   31 |    385 |   0.675 |   0.468 |   1.596 |   0.360 |       0.000 |       0.000 |  380.005 |   59.397
     Upper |   32 |    371 |   0.704 |   0.457 |   1.555 |   0.388 |       0.000 |       0.000 |  379.342 |   58.035
     Upper |   33 |    403 |   0.665 |   0.472 |   1.565 |   0.342 |       0.000 |       0.000 |  379.467 |   58.333
     Upper |   34 |    389 |   0.684 |   0.465 |   1.573 |   0.370 |       0.000 |       0.000 |  380.170 |   57.858
     Upper |   35 |    369 |   0.653 |   0.476 |   1.548 |   0.373 |       0.000 |       0.000 |  382.580 |   53.115
     Upper |   36 |    373 |   0.601 |   0.490 |   1.550 |   0.338 |       0.000 |       0.000 |  379.718 |   57.038
     Upper |   37 |    387 |   0.698 |   0.459 |   1.551 |   0.357 |       0.000 |       0.000 |  376.519 |   53.790
     Upper |   38 |    404 |   0.619 |   0.486 |   1.502 |   0.343 |       0.000 |       0.000 |  384.042 |   53.757
     Upper |   39 |    356 |   0.671 |   0.470 |   1.573 |   0.327 |       0.000 |       0.000 |  381.739 |   55.422
     Upper |   40 |    372 |   0.667 |   0.471 |   1.525 |   0.322 |       0.000 |       0.000 |  376.317 |   55.000
     Upper |   41 |    376 |   0.670 |   0.470 |   1.499 |   0.329 |       0.000 |       0.000 |  383.670 |   54.438
     Upper |   42 |    402 |   0.659 |   0.474 |   1.523 |   0.311 |       0.000 |       0.000 |  379.144 |   51.757
     Upper |   43 |    401 |   0.661 |   0.473 |   1.493 |   0.320 |       0.000 |       0.000 |  378.491 |   50.415
     Upper |   44 |    378 |   0.619 |   0.486 |   1.483 |   0.312 |       0.000 |       0.000 |  382.278 |   49.406
     Upper |   45 |    393 |   0.618 |   0.486 |   1.481 |   0.306 |       0.000 |       0.000 |  381.214 |   49.067
     Upper |   46 |    397 |   0.652 |   0.476 |   1.497 |   0.301 |       0.000 |       0.000 |  383.277 |   47.159
     Upper |   47 |    380 |   0.661 |   0.474 |   1.465 |   0.301 |       0.000 |       0.000 |  381.932 |   49.727
     Upper |   48 |    382 |   0.639 |   0.480 |   1.476 |   0.298 |       0.000 |       0.000 |  385.932 |   50.504
     Upper |   49 |    355 |   0.600 |   0.490 |   1.478 |   0.286 |       0.000 |       0.000 |  383.217 |   48.679
     Upper |   50 |    366 |   0.628 |   0.483 |   1.485 |   0.283 |       0.000 |       0.000 |  381.511 |   49.362
     Upper |   51 |    401 |   0.581 |   0.493 |   1.468 |   0.292 |       0.000 |       0.000 |  377.132 |   47.427
     Upper |   52 |    367 |   0.624 |   0.484 |   1.471 |   0.276 |       0.000 |       0.000 |  382.594 |   46.929
     Upper |   53 |    392 |   0.630 |   0.483 |   1.478 |   0.302 |       0.000 |       0.000 |  380.985 |   49.007
     Upper |   54 |    398 |   0.563 |   0.496 |   1.478 |   0.264 |       0.000 |       0.000 |  382.739 |   48.651
     Upper |   55 |    359 |   0.646 |   0.478 |   1.472 |   0.279 |       0.000 |       0.000 |  379.089 |   45.406
     Upper |   56 |    380 |   0.650 |   0.477 |   1.479 |   0.271 |       0.000 |       0.000 |  382.866 |   44.119
     Upper |   57 |    392 |   0.630 |   0.483 |   1.465 |   0.263 |       0.000 |       0.000 |  380.809 |   46.672
     Upper |   58 |    381 |   0.601 |   0.490 |   1.467 |   0.262 |       0.000 |       0.000 |  379.837 |   45.172
     Upper |   59 |    377 |   0.637 |   0.481 |   1.478 |   0.267 |       0.000 |       0.000 |  377.223 |   43.088
     Upper |   60 |    385 |   0.616 |   0.486 |   1.461 |   0.259 |       0.000 |       0.000 |  381.132 |   44.266
     Upper |   61 |    388 |   0.626 |   0.484 |   1.491 |   0.247 |       0.000 |       0.000 |  379.307 |   43.102
     Upper |   62 |    419 |   0.580 |   0.494 |   1.455 |   0.255 |       0.000 |       0.000 |  382.189 |   43.184
     Upper |   63 |    402 |   0.614 |   0.487 |   1.470 |   0.256 |       0.000 |       0.000 |  386.420 |   42.264
     Upper |   64 |    388 |   0.660 |   0.474 |   1.455 |   0.244 |       0.000 |       0.000 |  378.992 |   42.497
     Upper |   65 |    382 |   0.639 |   0.480 |   1.461 |   0.252 |       0.000 |       0.000 |  383.825 |   43.457
     Upper |   66 |    374 |   0.586 |   0.493 |   1.449 |   0.241 |       0.000 |       0.000 |  379.842 |   41.881
     Upper |   67 |    385 |   0.605 |   0.489 |   1.434 |   0.264 |       0.000 |       0.000 |  381.756 |   41.235
     Upper |   68 |    398 |   0.583 |   0.493 |   1.442 |   0.244 |       0.000 |       0.000 |  381.673 |   39.098
     Upper |   69 |    397 |   0.599 |   0.490 |   1.444 |   0.230 |       0.000 |       0.000 |  378.073 |   42.059
     Upper |   70 |    401 |   0.651 |   0.477 |   1.457 |   0.233 |       0.000 |       0.000 |  382.319 |   40.461
     Upper |   71 |    372 |   0.677 |   0.467 |   1.456 |   0.231 |       0.000 |       0.000 |  384.073 |   41.847
     Upper |   72 |    394 |   0.627 |   0.484 |   1.465 |   0.239 |       0.000 |       0.000 |  383.091 |   39.910
     Upper |   73 |    397 |   0.592 |   0.491 |   1.450 |   0.222 |       0.000 |       0.000 |  383.879 |   39.915
     Upper |   74 |    395 |   0.623 |   0.485 |   1.449 |   0.227 |       0.000 |       0.000 |  384.342 |   41.102
     Upper |   75 |    361 |   0.657 |   0.475 |   1.450 |   0.224 |       0.000 |       0.000 |  381.130 |   41.384
     Upper |   76 |    381 |   0.693 |   0.461 |   1.431 |   0.249 |       0.000 |       0.000 |  385.433 |   38.101
     Upper |   77 |    399 |   0.644 |   0.479 |   1.444 |   0.222 |       0.000 |       0.000 |  381.882 |   39.229
     Upper |   78 |    384 |   0.664 |   0.472 |   1.451 |   0.234 |       0.000 |       0.000 |  383.789 |   40.622
     Upper |   79 |    372 |   0.573 |   0.495 |   1.441 |   0.207 |       0.000 |       0.000 |  383.707 |   40.192
     Upper |   80 |    408 |   0.608 |   0.488 |   1.421 |   0.227 |       0.000 |       0.000 |  382.066 |   38.324
     Upper |   81 |    396 |   0.624 |   0.484 |   1.441 |   0.212 |       0.000 |       0.000 |  379.119 |   39.830
     Upper |   82 |    380 |   0.618 |   0.486 |   1.439 |   0.230 |       0.000 |       0.000 |  381.958 |   41.230
     Upper |   83 |    398 |   0.641 |   0.480 |   1.429 |   0.223 |       0.000 |       0.000 |  387.030 |   39.949
     Upper |   84 |    393 |   0.606 |   0.489 |   1.441 |   0.220 |       0.000 |       0.000 |  382.537 |   39.341
     Upper |   85 |    373 |   0.665 |   0.472 |   1.428 |   0.213 |       0.000 |       0.000 |  382.440 |   38.376
     Upper |   86 |    370 |   0.586 |   0.492 |   1.418 |   0.220 |       0.000 |       0.000 |  386.065 |   39.433
     Upper |   87 |    392 |   0.607 |   0.488 |   1.418 |   0.211 |       0.000 |       0.000 |  384.079 |   39.625
     Upper |   88 |    398 |   0.578 |   0.494 |   1.425 |   0.212 |       0.000 |       0.000 |  384.638 |   38.388
     Upper |   89 |    388 |   0.642 |   0.479 |   1.436 |   0.206 |       0.000 |       0.000 |  381.369 |   39.319
     Upper |   90 |    374 |   0.660 |   0.474 |   1.429 |   0.216 |       0.000 |       0.000 |  380.324 |   37.576
     Upper |   91 |    395 |   0.620 |   0.485 |   1.429 |   0.210 |       0.000 |       0.000 |  383.577 |   35.508
     Upper |   92 |    374 |   0.623 |   0.485 |   1.426 |   0.208 |       0.000 |       0.000 |  381.479 |   38.124
     Upper |   93 |    391 |   0.634 |   0.482 |   1.438 |   0.215 |       0.000 |       0.000 |  382.808 |   37.505
     Upper |   94 |    369 |   0.626 |   0.484 |   1.423 |   0.204 |       0.000 |       0.000 |  383.859 |   34.685
     Upper |   95 |    411 |   0.620 |   0.485 |   1.413 |   0.188 |       0.000 |       0.000 |  384.698 |   37.444
     Upper |   96 |    383 |   0.634 |   0.482 |   1.436 |   0.189 |       0.000 |       0.000 |  385.650 |   35.562
     Upper |   97 |    414 |   0.643 |   0.479 |   1.415 |   0.214 |       0.000 |       0.000 |  384.570 |   36.469
     Upper |   98 |    415 |   0.610 |   0.488 |   1.409 |   0.190 |       0.000 |       0.000 |  385.275 |   35.295
     Upper |   99 |    392 |   0.671 |   0.470 |   1.424 |   0.204 |       0.000 |       0.000 |  383.574 |   36.859
 Randomize |    1 |    519 |   0.979 |   0.144 |     inf |     nan |       1.000 |       0.000 |    1.000 |    0.000
 Randomize |    2 |    318 |   0.940 |   0.237 |     inf |     nan |       1.000 |       0.000 |    2.000 |    0.000
 Randomize |    3 |    411 |   0.827 |   0.378 |     inf |     nan |       0.774 |       0.418 |   10.000 |    3.313
 Randomize |    4 |    400 |   0.735 |   0.441 |     inf |     nan |       0.568 |       0.495 |   45.655 |   16.810
 Randomize |    5 |    371 |   0.698 |   0.459 |   2.299 |     nan |       0.329 |       0.470 |  264.453 |   96.800
 Randomize |    6 |    412 |   0.677 |   0.468 |   1.990 |     nan |       0.209 |       0.406 |  361.672 |  125.996
 Randomize |    7 |    389 |   0.681 |   0.466 |   1.870 |     nan |       0.111 |       0.314 |  373.627 |  116.085
 Randomize |    8 |    403 |   0.712 |   0.453 |   1.774 |     nan |       0.057 |       0.232 |  368.658 |  109.141
 Randomize |    9 |    410 |   0.661 |   0.473 |   1.637 |     nan |       0.020 |       0.138 |  373.178 |  102.277
 Randomize |   10 |    374 |   0.644 |   0.479 |   1.655 |     nan |       0.008 |       0.089 |  366.128 |  101.906
 Randomize |   11 |    368 |   0.668 |   0.471 |   1.584 |     nan |       0.005 |       0.074 |  371.976 |   90.493
