Experiment Results - 20250802_110809
==================================================
n_online_list: [100]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    0 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    1 |    569 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    1.153 |    0.988
     Upper |    2 |    430 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    3.437 |    1.496
     Upper |    3 |    360 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   12.589 |    4.211
     Upper |    4 |    354 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   53.316 |   15.807
     Upper |    5 |    309 |   0.997 |   0.057 |     inf |     nan |       0.984 |       0.126 |  288.757 |   81.949
     Upper |    6 |    293 |   1.000 |   0.000 |     inf |     nan |       0.990 |       0.101 |  397.800 |  108.739
     Upper |    7 |    252 |   1.000 |   0.000 |     inf |     nan |       0.972 |       0.164 |  365.770 |  109.473
     Upper |    8 |    213 |   0.981 |   0.136 |     inf |     nan |       0.906 |       0.292 |  340.643 |  107.542
     Upper |    9 |    233 |   0.970 |   0.171 |     inf |     nan |       0.918 |       0.274 |  339.279 |  106.479
     Upper |   10 |    198 |   0.960 |   0.197 |     inf |     nan |       0.798 |       0.402 |  322.854 |  110.246
     Upper |   11 |    191 |   0.963 |   0.188 |     inf |     nan |       0.728 |       0.445 |  319.304 |  114.702
     Upper |   12 |    174 |   0.914 |   0.281 |     inf |     nan |       0.655 |       0.475 |  305.098 |  113.996
     Upper |   13 |    169 |   0.923 |   0.266 |     inf |     nan |       0.586 |       0.493 |  294.941 |  110.997
     Upper |   14 |    201 |   0.915 |   0.278 |     inf |     nan |       0.512 |       0.500 |  277.886 |  117.277
     Upper |   15 |    162 |   0.901 |   0.298 |   3.811 |     nan |       0.432 |       0.495 |  272.602 |  108.018
     Upper |   16 |    168 |   0.893 |   0.309 |   3.414 |     nan |       0.369 |       0.483 |  275.938 |  108.252
     Upper |   17 |    170 |   0.888 |   0.315 |   2.991 |     nan |       0.312 |       0.463 |  270.603 |  108.012
     Upper |   18 |    153 |   0.895 |   0.306 |   3.116 |     nan |       0.281 |       0.450 |  262.010 |  108.061
     Upper |   19 |    148 |   0.926 |   0.262 |   2.743 |     nan |       0.250 |       0.433 |  264.044 |  110.505
     Upper |   20 |    135 |   0.844 |   0.362 |   2.788 |     nan |       0.252 |       0.434 |  253.322 |  110.101
     Upper |   21 |    136 |   0.853 |   0.354 |   2.636 |     nan |       0.147 |       0.354 |  254.210 |  106.252
     Upper |   22 |    140 |   0.850 |   0.357 |   2.612 |     nan |       0.186 |       0.389 |  249.021 |  107.180
