Experiment Results - 20250810_153334
==================================================
n_online_list: [50]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
 Randomize |   10 |   1000 |   0.631 |   0.483 |   1.267 |   0.484 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   11 |   1000 |   0.655 |   0.475 |   1.239 |   0.439 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   12 |   1000 |   0.647 |   0.478 |   1.244 |   0.438 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   13 |   1000 |   0.670 |   0.470 |   1.219 |   0.397 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   14 |   1000 |   0.611 |   0.488 |   1.203 |   0.382 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   15 |   1000 |   0.637 |   0.481 |   1.198 |   0.372 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   16 |   1000 |   0.633 |   0.482 |   1.167 |   0.368 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   17 |   1000 |   0.648 |   0.478 |   1.171 |   0.358 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   18 |   1000 |   0.623 |   0.485 |   1.177 |   0.350 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   19 |   1000 |   0.641 |   0.480 |   1.152 |   0.338 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   20 |   1000 |   0.609 |   0.488 |   1.160 |   0.324 |       0.000 |       0.000 | 1001.000 |    0.016
 Randomize |   21 |   1000 |   0.636 |   0.481 |   1.161 |   0.315 |       0.000 |       0.000 | 1000.998 |    0.039
 Randomize |   22 |   1000 |   0.620 |   0.485 |   1.149 |   0.313 |       0.000 |       0.000 | 1001.000 |    0.000
 Randomize |   23 |   1000 |   0.650 |   0.477 |   1.143 |   0.303 |       0.000 |       0.000 | 1000.997 |    0.045
 Randomize |   24 |   1000 |   0.643 |   0.479 |   1.139 |   0.293 |       0.000 |       0.000 | 1000.990 |    0.116
 Randomize |   25 |   1000 |   0.631 |   0.483 |   1.124 |   0.279 |       0.000 |       0.000 | 1000.980 |    0.149
 Randomize |   26 |   1000 |   0.612 |   0.487 |   1.131 |   0.278 |       0.000 |       0.000 | 1000.933 |    0.371
 Randomize |   27 |   1000 |   0.622 |   0.485 |   1.134 |   0.271 |       0.000 |       0.000 | 1000.772 |    0.881
 Randomize |   28 |   1000 |   0.594 |   0.491 |   1.118 |   0.268 |       0.000 |       0.000 | 1000.590 |    1.318
 Randomize |   29 |   1000 |   0.642 |   0.479 |   1.120 |   0.261 |       0.000 |       0.000 | 1000.096 |    2.684
 Randomize |   30 |   1000 |   0.618 |   0.486 |   1.118 |   0.264 |       0.000 |       0.000 |  998.929 |    5.322
 Randomize |   31 |    997 |   0.621 |   0.485 |   1.124 |   0.251 |       0.000 |       0.000 |  997.056 |    9.022
 Randomize |   32 |    990 |   0.635 |   0.481 |   1.113 |   0.257 |       0.000 |       0.000 |  989.927 |   21.631
 Randomize |   33 |    972 |   0.617 |   0.486 |   1.115 |   0.251 |       0.000 |       0.000 |  965.881 |   48.843
 Randomize |   34 |    945 |   0.613 |   0.487 |   1.115 |   0.248 |       0.000 |       0.000 |  938.158 |   69.385
 Randomize |   35 |    890 |   0.626 |   0.484 |   1.105 |   0.241 |       0.000 |       0.000 |  885.801 |   94.370
 Randomize |   36 |    832 |   0.583 |   0.493 |   1.104 |   0.240 |       0.000 |       0.000 |  825.435 |  108.763
 Randomize |   37 |    694 |   0.670 |   0.470 |   1.109 |   0.237 |       0.000 |       0.000 |  715.540 |  119.164
 Randomize |   38 |    568 |   0.595 |   0.491 |   1.089 |   0.226 |       0.000 |       0.000 |  599.799 |  116.831
 Randomize |   39 |    214 |   0.575 |   0.494 |   1.094 |   0.253 |       0.000 |       0.000 |  235.731 |   60.008
