Experiment Results - 20250810_200028
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    0 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    1 |    356 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    2 |    531 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    3.819 |    0.831
     Upper |    3 |    310 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   10.916 |    3.440
     Upper |    4 |    458 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   68.175 |   11.402
     Upper |    5 |    279 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  323.011 |   82.381
     Upper |    6 |    413 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  524.172 |  101.243
     Upper |    7 |    271 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  444.590 |  103.789
     Upper |    8 |    363 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  487.025 |  115.594
     Upper |    9 |    304 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  425.135 |  106.461
     Upper |   10 |    361 |   0.992 |   0.091 |     inf |     nan |       0.964 |       0.186 |  483.601 |   93.275
     Upper |   11 |    258 |   0.992 |   0.088 |     inf |     nan |       0.930 |       0.255 |  418.384 |  109.655
     Upper |   12 |    306 |   0.915 |   0.279 |     inf |     nan |       0.539 |       0.498 |  470.062 |   93.123
     Upper |   13 |    256 |   0.953 |   0.211 |     inf |     nan |       0.617 |       0.486 |  413.016 |  100.935
     Upper |   14 |    356 |   0.876 |   0.329 |   3.495 |     nan |       0.331 |       0.471 |  457.062 |   97.481
     Upper |   15 |    256 |   0.910 |   0.286 |   3.739 |     nan |       0.398 |       0.490 |  406.730 |  110.447
     Upper |   16 |    336 |   0.896 |   0.305 |   2.978 |     nan |       0.238 |       0.426 |  444.762 |  103.484
     Upper |   17 |    265 |   0.887 |   0.317 |   3.386 |     nan |       0.313 |       0.464 |  397.857 |  106.776
     Upper |   18 |    309 |   0.851 |   0.356 |   2.762 |     nan |       0.194 |       0.396 |  430.540 |  106.231
     Upper |   19 |    260 |   0.931 |   0.254 |   2.840 |     nan |       0.242 |       0.428 |  388.485 |  106.982
     Upper |   20 |    296 |   0.831 |   0.375 |   2.660 |     nan |       0.186 |       0.389 |  415.233 |  110.267
     Upper |   21 |    281 |   0.883 |   0.322 |   2.620 |     nan |       0.117 |       0.322 |  405.039 |   88.633
     Upper |   22 |    308 |   0.867 |   0.340 |   2.439 |     nan |       0.127 |       0.333 |  422.497 |  101.463
