Experiment Results - 20250802_132554
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
     Upper |   52 |    262 |   0.687 |   0.464 |   1.852 |   0.457 |       0.000 |       0.000 |  335.540 |   95.991
     Upper |   53 |    276 |   0.692 |   0.462 |   1.799 |     nan |       0.007 |       0.085 |  329.967 |  107.268
     Upper |   54 |    296 |   0.672 |   0.469 |   1.862 |     nan |       0.010 |       0.100 |  326.801 |  105.501
     Upper |   55 |    239 |   0.732 |   0.443 |   1.805 |     nan |       0.004 |       0.065 |  338.579 |   98.621
     Upper |   56 |    266 |   0.707 |   0.455 |   1.862 |     nan |       0.004 |       0.061 |  333.538 |  102.290
     Upper |   57 |    270 |   0.719 |   0.450 |   1.788 |   0.527 |       0.000 |       0.000 |  326.098 |  103.096
     Upper |   58 |    249 |   0.675 |   0.468 |   1.811 |   0.442 |       0.000 |       0.000 |  340.289 |   98.962
     Upper |   59 |    266 |   0.673 |   0.469 |   1.795 |     nan |       0.004 |       0.061 |  332.825 |  101.024
     Upper |   60 |    268 |   0.701 |   0.458 |   1.804 |   0.487 |       0.000 |       0.000 |  324.869 |  103.583
     Upper |   61 |    242 |   0.678 |   0.467 |   1.796 |   0.451 |       0.000 |       0.000 |  325.643 |   98.479
     Upper |   62 |    252 |   0.667 |   0.471 |   1.780 |   0.420 |       0.000 |       0.000 |  336.861 |   96.348
     Upper |   63 |    259 |   0.656 |   0.475 |   1.754 |     nan |       0.004 |       0.062 |  329.137 |  100.602
     Upper |   64 |    242 |   0.686 |   0.464 |   1.766 |     nan |       0.004 |       0.064 |  322.056 |  107.733
     Upper |   65 |    260 |   0.704 |   0.457 |   1.834 |   0.480 |       0.000 |       0.000 |  317.842 |  106.411
     Upper |   66 |    241 |   0.618 |   0.486 |   1.757 |   0.386 |       0.000 |       0.000 |  326.589 |  101.904
     Upper |   67 |    241 |   0.610 |   0.488 |   1.699 |   0.395 |       0.000 |       0.000 |  328.573 |   92.742
     Upper |   68 |    274 |   0.639 |   0.480 |   1.762 |   0.459 |       0.000 |       0.000 |  322.617 |   97.594
     Upper |   69 |    263 |   0.681 |   0.466 |   1.784 |   0.455 |       0.000 |       0.000 |  320.508 |  100.631
