Experiment Results - 20250810_211425
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
     Upper |   52 |    264 |   0.693 |   0.461 |   1.865 |     nan |       0.008 |       0.087 |  360.044 |   92.934
     Upper |   53 |    275 |   0.713 |   0.452 |   1.879 |     nan |       0.011 |       0.104 |  352.751 |   97.612
     Upper |   54 |    289 |   0.661 |   0.473 |   1.906 |     nan |       0.014 |       0.117 |  348.296 |  100.496
     Upper |   55 |    253 |   0.751 |   0.432 |   1.846 |   0.545 |       0.000 |       0.000 |  360.893 |   93.666
     Upper |   56 |    270 |   0.667 |   0.471 |   1.851 |     nan |       0.007 |       0.086 |  352.065 |   96.751
     Upper |   57 |    271 |   0.720 |   0.449 |   1.787 |     nan |       0.018 |       0.135 |  351.596 |   97.147
     Upper |   58 |    275 |   0.658 |   0.474 |   1.839 |     nan |       0.011 |       0.104 |  353.380 |   98.672
     Upper |   59 |    272 |   0.669 |   0.471 |   1.855 |     nan |       0.015 |       0.120 |  346.989 |  101.283
     Upper |   60 |    260 |   0.731 |   0.444 |   1.883 |     nan |       0.004 |       0.062 |  350.710 |   94.494
     Upper |   61 |    252 |   0.706 |   0.455 |   1.860 |     nan |       0.004 |       0.063 |  343.641 |   95.465
     Upper |   62 |    264 |   0.678 |   0.467 |   1.840 |     nan |       0.008 |       0.087 |  346.602 |   97.548
     Upper |   63 |    264 |   0.655 |   0.475 |   1.784 |     nan |       0.008 |       0.087 |  350.604 |   93.964
     Upper |   64 |    240 |   0.713 |   0.453 |   1.823 |     nan |       0.008 |       0.091 |  335.979 |  102.518
     Upper |   65 |    253 |   0.704 |   0.457 |   1.852 |     nan |       0.008 |       0.089 |  342.480 |  102.077
     Upper |   66 |    235 |   0.621 |   0.485 |   1.828 |   0.456 |       0.000 |       0.000 |  345.340 |   90.408
     Upper |   67 |    247 |   0.648 |   0.478 |   1.736 |     nan |       0.004 |       0.063 |  348.949 |   86.399
     Upper |   68 |    277 |   0.671 |   0.470 |   1.850 |     nan |       0.007 |       0.085 |  334.884 |   94.308
     Upper |   69 |    274 |   0.682 |   0.466 |   1.818 |     nan |       0.007 |       0.085 |  339.380 |   95.075
     Upper |   70 |    266 |   0.699 |   0.459 |   1.852 |     nan |       0.004 |       0.061 |  331.868 |   97.333
     Upper |   71 |    240 |   0.738 |   0.440 |   1.840 |   0.510 |       0.000 |       0.000 |  333.375 |   98.177
     Upper |   72 |    262 |   0.649 |   0.477 |   1.801 |     nan |       0.008 |       0.087 |  334.063 |   95.342
     Upper |   73 |    240 |   0.704 |   0.456 |   1.829 |     nan |       0.008 |       0.091 |  341.800 |   97.003
     Upper |   74 |    252 |   0.663 |   0.473 |   1.811 |     nan |       0.004 |       0.063 |  332.333 |   94.851
     Upper |   75 |    227 |   0.744 |   0.436 |   1.829 |     nan |       0.009 |       0.093 |  326.833 |  102.267
     Upper |   76 |    270 |   0.722 |   0.448 |   1.826 |     nan |       0.007 |       0.086 |  335.191 |   90.765
     Upper |   77 |    261 |   0.690 |   0.463 |   1.815 |     nan |       0.004 |       0.062 |  333.908 |   97.538
     Upper |   78 |    244 |   0.721 |   0.448 |   1.841 |   0.418 |       0.000 |       0.000 |  337.379 |   86.218
     Upper |   79 |    260 |   0.608 |   0.488 |   1.798 |     nan |       0.008 |       0.087 |  339.075 |   92.290
     Upper |   80 |    281 |   0.705 |   0.456 |   1.784 |   0.427 |       0.000 |       0.000 |  319.909 |   98.092
     Upper |   81 |    253 |   0.672 |   0.470 |   1.796 |     nan |       0.004 |       0.063 |  326.520 |   92.437
     Upper |   82 |    249 |   0.655 |   0.475 |   1.761 |     nan |       0.004 |       0.063 |  338.122 |   87.929
     Upper |   83 |    261 |   0.690 |   0.463 |   1.790 |     nan |       0.004 |       0.062 |  324.887 |   92.867
     Upper |   84 |    254 |   0.661 |   0.473 |   1.743 |     nan |       0.004 |       0.063 |  326.022 |   94.525
     Upper |   85 |    268 |   0.746 |   0.435 |   1.773 |     nan |       0.004 |       0.061 |  323.785 |   88.042
     Upper |   86 |    245 |   0.616 |   0.486 |   1.728 |     nan |       0.012 |       0.110 |  330.329 |   97.822
     Upper |   87 |    234 |   0.637 |   0.481 |   1.742 |   0.388 |       0.000 |       0.000 |  331.665 |   90.487
     Upper |   88 |    261 |   0.678 |   0.467 |   1.759 |   0.456 |       0.000 |       0.000 |  329.017 |   92.019
     Upper |   89 |    238 |   0.647 |   0.478 |   1.739 |   0.409 |       0.000 |       0.000 |  334.412 |   89.998
     Upper |   90 |    271 |   0.679 |   0.467 |   1.749 |     nan |       0.004 |       0.061 |  332.030 |   92.897
     Upper |   91 |    251 |   0.665 |   0.472 |   1.779 |   0.375 |       0.000 |       0.000 |  325.384 |   87.646
     Upper |   92 |    253 |   0.660 |   0.474 |   1.727 |     nan |       0.004 |       0.063 |  327.514 |   89.477
     Upper |   93 |    255 |   0.690 |   0.462 |   1.706 |   0.416 |       0.000 |       0.000 |  317.671 |   94.955
     Upper |   94 |    239 |   0.653 |   0.476 |   1.757 |   0.369 |       0.000 |       0.000 |  335.971 |   90.929
     Upper |   95 |    257 |   0.599 |   0.490 |   1.704 |   0.373 |       0.000 |       0.000 |  328.064 |   85.415
     Upper |   96 |    247 |   0.684 |   0.465 |   1.756 |   0.385 |       0.000 |       0.000 |  325.891 |   86.917
     Upper |   97 |    235 |   0.706 |   0.455 |   1.757 |     nan |       0.004 |       0.065 |  325.885 |   87.863
     Upper |   98 |    281 |   0.665 |   0.472 |   1.750 |     nan |       0.004 |       0.060 |  326.730 |   88.446
     Upper |   99 |    279 |   0.663 |   0.473 |   1.745 |   0.372 |       0.000 |       0.000 |  317.633 |   86.890
     Upper |  100 |    256 |   0.703 |   0.457 |   1.767 |   0.385 |       0.000 |       0.000 |  324.922 |   86.719
     Upper |  101 |    275 |   0.669 |   0.471 |   1.751 |   0.369 |       0.000 |       0.000 |  323.584 |   80.671
     Upper |  102 |    276 |   0.670 |   0.470 |   1.740 |   0.376 |       0.000 |       0.000 |  318.375 |   94.330
     Upper |  103 |    250 |   0.652 |   0.476 |   1.727 |     nan |       0.004 |       0.063 |  315.328 |   95.751
     Upper |  104 |    264 |   0.705 |   0.456 |   1.769 |     nan |       0.008 |       0.087 |  314.491 |   94.397
     Upper |  105 |    249 |   0.671 |   0.470 |   1.730 |   0.363 |       0.000 |       0.000 |  314.653 |   93.358
     Upper |  106 |    244 |   0.660 |   0.474 |   1.748 |   0.354 |       0.000 |       0.000 |  324.814 |   88.165
     Upper |  107 |    249 |   0.594 |   0.491 |   1.732 |     nan |       0.004 |       0.063 |  320.195 |   87.273
     Upper |  108 |    277 |   0.686 |   0.464 |   1.739 |     nan |       0.004 |       0.060 |  312.220 |   90.588
     Upper |  109 |    257 |   0.646 |   0.478 |   1.767 |   0.395 |       0.000 |       0.000 |  311.119 |   86.863
     Upper |  110 |    266 |   0.647 |   0.478 |   1.737 |   0.323 |       0.000 |       0.000 |  322.199 |   80.569
     Upper |  111 |    256 |   0.672 |   0.470 |   1.717 |     nan |       0.004 |       0.062 |  322.781 |   81.258
     Upper |  112 |    261 |   0.709 |   0.454 |   1.751 |     nan |       0.004 |       0.062 |  301.814 |   94.292
     Upper |  113 |    266 |   0.662 |   0.473 |   1.727 |   0.398 |       0.000 |       0.000 |  312.423 |   88.514
     Upper |  114 |    267 |   0.704 |   0.456 |   1.701 |   0.349 |       0.000 |       0.000 |  310.685 |   91.667
     Upper |  115 |    257 |   0.665 |   0.472 |   1.711 |   0.413 |       0.000 |       0.000 |  314.220 |   84.626
     Upper |  116 |    251 |   0.649 |   0.477 |   1.708 |   0.337 |       0.000 |       0.000 |  316.353 |   85.976
     Upper |  117 |    257 |   0.623 |   0.485 |   1.739 |   0.326 |       0.000 |       0.000 |  318.589 |   84.273
     Upper |  118 |    274 |   0.639 |   0.480 |   1.763 |   0.369 |       0.000 |       0.000 |  312.907 |   88.547
     Upper |  119 |    264 |   0.595 |   0.491 |   1.702 |   0.339 |       0.000 |       0.000 |  323.955 |   85.319
     Upper |  120 |    254 |   0.610 |   0.488 |   1.708 |     nan |       0.004 |       0.063 |  314.581 |   89.328
     Upper |  121 |    261 |   0.690 |   0.463 |   1.737 |   0.336 |       0.000 |       0.000 |  308.885 |   88.834
     Upper |  122 |    262 |   0.679 |   0.467 |   1.703 |   0.344 |       0.000 |       0.000 |  316.433 |   83.613
