Experiment Results - 20250812_230453
==================================================
n_online_list: [100]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    1 |    356 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    2 |    344 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    2.539 |    0.557
     Upper |    3 |    612 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   16.644 |    2.849
     Upper |    4 |    798 |   0.997 |   0.050 |     inf |     nan |       1.000 |       0.000 |   99.404 |   14.021
     Upper |    5 |    812 |   0.995 |   0.070 |     inf |     nan |       0.990 |       0.099 |  587.586 |   83.676
     Upper |    6 |    900 |   0.911 |   0.285 |   4.225 |     nan |       0.470 |       0.499 |  901.309 |   91.036
     Upper |    7 |    907 |   0.884 |   0.320 |   2.410 |     nan |       0.014 |       0.119 |  894.509 |   96.318
     Upper |    8 |    949 |   0.860 |   0.347 |   2.224 |   0.929 |       0.000 |       0.000 |  943.121 |   72.049
     Upper |    9 |    941 |   0.802 |   0.398 |   1.873 |   0.704 |       0.000 |       0.000 |  943.967 |   68.126
     Upper |   10 |    947 |   0.795 |   0.404 |   1.902 |   0.652 |       0.000 |       0.000 |  943.242 |   65.059
     Upper |   11 |    968 |   0.780 |   0.414 |   1.672 |   0.573 |       0.000 |       0.000 |  969.108 |   45.537
     Upper |   12 |    973 |   0.756 |   0.429 |   1.669 |   0.509 |       0.000 |       0.000 |  968.174 |   44.339
     Upper |   13 |    982 |   0.775 |   0.418 |   1.612 |   0.487 |       0.000 |       0.000 |  983.174 |   30.377
     Upper |   14 |    978 |   0.701 |   0.458 |   1.523 |   0.438 |       0.000 |       0.000 |  983.145 |   28.742
     Upper |   15 |    984 |   0.742 |   0.438 |   1.551 |   0.439 |       0.000 |       0.000 |  983.031 |   28.618
     Upper |   16 |    979 |   0.725 |   0.446 |   1.475 |   0.411 |       0.000 |       0.000 |  983.184 |   27.838
     Upper |   17 |    988 |   0.735 |   0.441 |   1.470 |   0.400 |       0.000 |       0.000 |  991.002 |   17.939
     Upper |   18 |    990 |   0.715 |   0.451 |   1.421 |   0.388 |       0.000 |       0.000 |  991.116 |   16.680
     Upper |   19 |    995 |   0.729 |   0.445 |   1.405 |   0.376 |       0.000 |       0.000 |  991.324 |   15.763
     Upper |   20 |    991 |   0.691 |   0.462 |   1.390 |   0.370 |       0.000 |       0.000 |  991.295 |   16.173
     Upper |   21 |    990 |   0.713 |   0.452 |   1.378 |   0.347 |       0.000 |       0.000 |  991.408 |   14.472
