Experiment Results - 20250802_112250
==================================================
n_online_list: [100]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    0 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    1 |    791 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    1.732 |    0.681
     Upper |    2 |    676 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    4.886 |    1.338
     Upper |    3 |    607 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   17.301 |    4.323
     Upper |    4 |    622 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   80.289 |   17.526
     Upper |    5 |    566 |   1.000 |   0.000 |     inf |     nan |       0.984 |       0.125 |  456.933 |   91.643
     Upper |    6 |    537 |   0.993 |   0.086 |     inf |     nan |       0.952 |       0.215 |  620.397 |  113.807
     Upper |    7 |    526 |   0.975 |   0.155 |     inf |     nan |       0.865 |       0.342 |  601.540 |  112.373
     Upper |    8 |    508 |   0.941 |   0.236 |     inf |     nan |       0.679 |       0.467 |  586.221 |  112.035
     Upper |    9 |    551 |   0.913 |   0.282 |   4.193 |     nan |       0.465 |       0.499 |  584.534 |  105.194
     Upper |   10 |    538 |   0.864 |   0.342 |   2.850 |     nan |       0.230 |       0.421 |  572.905 |  108.424
     Upper |   11 |    504 |   0.865 |   0.342 |   2.680 |     nan |       0.109 |       0.312 |  567.265 |  107.437
     Upper |   12 |    490 |   0.845 |   0.362 |   2.538 |     nan |       0.082 |       0.274 |  561.822 |  113.454
     Upper |   13 |    486 |   0.856 |   0.351 |   2.343 |     nan |       0.053 |       0.225 |  558.810 |  105.638
     Upper |   14 |    538 |   0.779 |   0.415 |   2.259 |     nan |       0.020 |       0.142 |  567.720 |   96.948
     Upper |   15 |    524 |   0.803 |   0.397 |   2.217 |     nan |       0.015 |       0.123 |  557.598 |   91.712
     Upper |   16 |    531 |   0.804 |   0.397 |   2.161 |     nan |       0.019 |       0.136 |  551.976 |  100.168
     Upper |   17 |    499 |   0.780 |   0.415 |   2.091 |     nan |       0.010 |       0.100 |  551.314 |   97.789
     Upper |   18 |    498 |   0.779 |   0.415 |   2.066 |     nan |       0.012 |       0.109 |  545.735 |   98.936
     Upper |   19 |    528 |   0.833 |   0.373 |   2.017 |     nan |       0.008 |       0.087 |  539.087 |  106.026
     Upper |   20 |    490 |   0.747 |   0.435 |   2.010 |     nan |       0.004 |       0.064 |  546.938 |   89.231
     Upper |   21 |    500 |   0.778 |   0.416 |   1.978 |     nan |       0.002 |       0.045 |  546.022 |   93.889
     Upper |   22 |    509 |   0.768 |   0.422 |   1.949 |     nan |       0.004 |       0.063 |  534.473 |  105.990
