Experiment Results - 20250802_012927
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    0 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    1 |    539 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    2 |    784 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    5.403 |    0.491
     Upper |    3 |    550 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   19.975 |    2.819
     Upper |    4 |    394 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   92.772 |   15.454
     Upper |    5 |    581 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  615.594 |   88.840
     Upper |    6 |    437 |   0.908 |   0.288 |     inf |     nan |       0.661 |       0.473 |  818.362 |  137.556
     Upper |    7 |    613 |   0.907 |   0.290 |     inf |     nan |       0.511 |       0.500 |  873.471 |  124.972
     Upper |    8 |    488 |   0.904 |   0.295 |     inf |     nan |       0.555 |       0.497 |  847.038 |  137.904
     Upper |    9 |    375 |   0.856 |   0.351 |     inf |     nan |       0.600 |       0.490 |  820.572 |  147.453
     Upper |   10 |    512 |   0.846 |   0.361 |   4.032 |     nan |       0.494 |       0.500 |  866.470 |  136.230
     Upper |   11 |    406 |   0.835 |   0.371 |     inf |     nan |       0.544 |       0.498 |  842.381 |  145.243
     Upper |   12 |    549 |   0.794 |   0.404 |   2.236 |     nan |       0.399 |       0.490 |  882.926 |  134.075
     Upper |   13 |    449 |   0.835 |   0.371 |   2.231 |     nan |       0.425 |       0.494 |  859.482 |  142.564
     Upper |   14 |    361 |   0.798 |   0.402 |     inf |     nan |       0.501 |       0.500 |  837.062 |  149.676
     Upper |   15 |    473 |   0.761 |   0.426 |   1.747 |     nan |       0.095 |       0.293 |  871.938 |  140.288
     Upper |   16 |    374 |   0.791 |   0.406 |   1.684 |     nan |       0.091 |       0.287 |  859.398 |  147.103
     Upper |   17 |    502 |   0.765 |   0.424 |   1.624 |     nan |       0.004 |       0.063 |  883.133 |  137.398
     Upper |   18 |    410 |   0.729 |   0.444 |   1.618 |   0.604 |       0.000 |       0.000 |  867.528 |  144.430
     Upper |   19 |    328 |   0.753 |   0.431 |   1.605 |     nan |       0.006 |       0.078 |  849.226 |  150.043
     Upper |   20 |    440 |   0.707 |   0.455 |   1.513 |   0.523 |       0.000 |       0.000 |  883.139 |  140.427
     Upper |   21 |    367 |   0.736 |   0.441 |   1.521 |   0.571 |       0.000 |       0.000 |  862.234 |  147.033
     Upper |   22 |    447 |   0.698 |   0.459 |   1.433 |   0.459 |       0.000 |       0.000 |  896.666 |  136.470
